CAZy_Family	Class	Substrate_Class	Substrate
GT42	GT		
GT43	GT		
GT44	GT		
GT45	GT		
GT46	GT		
GT47	GT		
GT48	GT		
GT49	GT		
GT5	GT		
GT50	GT		
GT51	GT		
GT52	GT		
GT53	GT		
GT54	GT		
GT55	GT		
GT56	GT		
GT57	GT		
GT58	GT		
GT59	GT		
GT6	GT		
GT60	GT		
GT61	GT		
GT62	GT		
GT63	GT		
GT64	GT		
GT65	GT		
GT66	GT		
GT67	GT		
GT68	GT		
GT69	GT		
GT7	GT		
GT70	GT		
GT71	GT		
GT72	GT		
GT73	GT		
GT74	GT		
GT75	GT		
GT76	GT		
GT77	GT		
GT78	GT		
GT79	GT		
GT8	GT		
GT80	GT		
GT81	GT		
GT82	GT		
GT83	GT		
GT84	GT		
GT85	GT		
GT87	GT		
GT88	GT		
GT89	GT		
GT9	GT		
GT90	GT		
GT91	GT		
GT92	GT		
PL1	PL	Pectin	Pectin
PL10	PL	Pectin	Pectin
PL11	PL	Pectin	Pectin
PL12	PL	Amino sugar	Heparin
PL13	PL		
PL14	PL	Other Polysaccharides	Alginate
PL15	PL	Other Polysaccharides	Alginate oligosaccharides
PL16	PL	Amino sugar	hyaluronan
PL17	PL	Other Polysaccharides	Alginate
PL18	PL	Other Polysaccharides	Alginate
PL2	PL	Pectin	Pectin
PL20	PL	Other Polysaccharides	D-glucuronan
PL21	PL	Amino sugar	Heparin
PL22	PL	Pectin	Oligogalacturonides
PL3	PL	Pectin	Pectin
PL4	PL		
PL5	PL	Other Polysaccharides	Alginate
PL6	PL	Other Polysaccharides	Alginate
PL7	PL	Other Polysaccharides	Alginate
PL8	PL	Amino sugar	hyaluronan
PL9	PL	Pectin	Pectin
AA6	AA		
AA4	AA		
GH130	GH	Hemicellulose	Mannooligosaccharides
GH133	GH	Starch	Limit dextrin
AA2	AA		
GH127	GH	Hemicellulose	L-arabinofuranoside
AA3	AA		
AA7	AA		
AA12	AA		
GT97	GT		
GT94	GT		
GH128	GH	Other Polysaccharides	"laminarin, paramylon and pachyman"
AA1	AA		
GH126	GH	Starch	Starch
GH129	GH	Amino sugar	N-acetylgalactosamine
AA5	AA		
AA10	AA		
